School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,Total Students,BE Score,ICSEA,ATAR Rank,Median ATAR,% students with ATAR
ALBANY SENIOR HIGH SCHOOL,1 CAMPBELL ROAD,ALBANY,WA,6330,1 CAMPBELL ROAD,ALBANY,WA,6330,-35.02044765,117.8917733,08 9841 0444,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,977,88,1010.0,101.0,72.8,43.09
ALL SAINTS' COLLEGE,28 EWING AVENUE,BULL CREEK,WA,6149,28 EWING AVENUE,BULL CREEK,WA,6149,-32.04946998,115.867023,08 9313 9333,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1354,99,1154.0,21.0,86.35,82.19
APPLECROSS SENIOR HIGH SCHOOL,LINKS ROAD,ARDROSS,WA,6153,LINKS ROAD,ARDROSS,WA,6153,-32.029376,115.83509,08 9314 9393,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1665,98,1111.0,34.0,84.3,61.97
AQUINAS COLLEGE,58 MT HENRY ROAD,SALTER POINT,WA,6152,58 MT HENRY ROAD,SALTER POINT,WA,6152,-32.02617519,115.8617538,08 9450 0600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1312,96,1023.0,23.0,85.85,62.07
ARANMORE CATHOLIC COLLEGE,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,-31.92706854,115.8431695,08 9201 5200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,710,83,991.0,106.0,71.95,44.34
ATWELL COLLEGE,201 BRENCHLEY DRIVE,ATWELL,WA,6164,201 BRENCHLEY DRIVE,ATWELL,WA,6164,-32.14395682,115.8641462,08 6174 2200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1418,83,1012.0,129.0,64.05,28.82
AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,139 PRESIDENT STREET,KEWDALE,WA,6105,139 PRESIDENT STREET,KEWDALE,WA,6105,-31.97999061,115.9325273,08 9362 5340,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1729,93,985.0,102.0,72.55,63.36
AUSTRALIND SENIOR HIGH SCHOOL,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,-33.27665965,115.7284365,08 9797 4400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1424,82,977.0,76.0,78.4,23.81
BALDIVIS SECONDARY COLLEGE,STILLWATER DRIVE,BALDIVIS,WA,6171,PO BOX 4119,BALDIVIS,WA,6171,-32.334099,115.828418,08 9523 3600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1657,79,987.0,134.0,60.45,20.0
BALLAJURA COMMUNITY COLLEGE,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.84474671,115.8934345,08 9262 7777,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1216,85,977.0,133.0,62.5,36.2
BELMONT CITY COLLEGE,106 FISHER STREET,BELMONT,WA,6104,106 FISHER STREET,BELMONT,WA,6104,-31.95889136,115.9344344,08 9473 9800,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,908,82,968.0,57.0,80.85,26.8
BELRIDGE SECONDARY COLLEGE,17 GWENDOLINE DRIVE,BELDON,WA,6027,17 GWENDOLINE DRIVE,BELDON,WA,6027,-31.77038385,115.7631759,08 9408 8000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1015,86,1015.0,102.0,72.55,30.47
BROOME SENIOR HIGH SCHOOL,FREDERICK STREET,BROOME,WA,6725,PO BOX 1316,BROOME,WA,6725,-17.95614273,122.2323264,08 9195 3100,KIMBERLEY,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,828,78,932.0,90.0,75.45,38.3
BUNBURY CATHEDRAL GRAMMAR SCHOOL,5 ALLEN ROAD,GELORUP,WA,6230,5 ALLEN ROAD,GELORUP,WA,6230,-33.404668,115.63864,08 9722 6000,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,655,97,1081.0,29.0,84.8,81.33
BUNBURY CATHOLIC COLLEGE,LOT 4 RODSTED STREET,BUNBURY,WA,6230,LOT 4 RODSTED STREET,BUNBURY,WA,6230,-33.34342203,115.6614239,08 9721 0000,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,826,89,1035.0,71.0,78.95,36.56
BUNBURY SENIOR HIGH SCHOOL,10-44 HAIG CRESCENT,BUNBURY,WA,6230,10-44 HAIG CRESCENT,BUNBURY,WA,6230,-33.32746917,115.6326077,08 9781 2500,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,979,88,1019.0,79.0,77.3,37.38
BUTLER COLLEGE,15 MCCORMACK BOULEVARD,BUTLER,WA,6036,PO BOX 317,QUINNS ROCKS,WA,6030,-31.65166367,115.7087008,08 9561 4200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1633,79,993.0,39.0,83.7,21.18
BYFORD SECONDARY COLLEGE,57 ABERNETHY ROAD,BYFORD,WA,6122,57 ABERNETHY ROAD,BYFORD,WA,6122,-32.22343162,116.0018793,08 9550 6100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1444,82,989.0,116.0,68.0,21.57
CANNING VALE COLLEGE,26 DUMBARTON ROAD,CANNING VALE,WA,6155,26 DUMBARTON ROAD,CANNING VALE,WA,6155,-32.08291838,115.9227838,08 9334 9000,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1459,91,1030.0,68.0,79.8,39.61
CAPE NATURALISTE COLLEGE,30 YEBBLE DRIVE,VASSE,WA,6280,30 YEBBLE DRIVE,VASSE,WA,6280,-33.67693545,115.2438891,08 9746 3500,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,877,85,1008.0,66.0,79.95,31.82
CAREY BAPTIST COLLEGE,51 WRIGHT ROAD,HARRISDALE,WA,6112,51 WRIGHT ROAD,HARRISDALE,WA,6112,-32.11159158,115.9355423,08 9394 9111,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1429,94,1097.0,62.0,80.3,60.53
CARINE SENIOR HIGH SCHOOL,51 EVERINGHAM STREET,CARINE,WA,6020,51 EVERINGHAM STREET,CARINE,WA,6020,-31.85299735,115.775848,08 9243 9100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2015,94,1088.0,47.0,82.35,43.15
CARMEL SCHOOL,123 CRESSWELL ROAD,DIANELLA,WA,6059,123 CRESSWELL ROAD,DIANELLA,WA,6059,-31.89910743,115.8620749,08 9276 1644,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,476,97,1137.0,13.0,88.85,96.97
CECIL ANDREWS COLLEGE,39 SEVILLE DRIVE,ARMADALE,WA,6112,PO BOX 295,ARMADALE,WA,6992,-32.14118727,115.9918834,08 9234 3400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,788,74,898.0,139.0,49.85,25.97
CHISHOLM CATHOLIC COLLEGE,1104 BEAUFORT STREET,BEDFORD,WA,6052,1104 BEAUFORT STREET,BEDFORD,WA,6052,-31.91151257,115.9005647,08 9208 2500,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1675,96,1070.0,29.0,84.8,53.85
CHRIST CHURCH GRAMMAR SCHOOL,QUEENSLEA DRIVE,CLAREMONT,WA,6010,QUEENSLEA DRIVE,CLAREMONT,WA,6010,-31.98546117,115.7769868,08 9442 1555,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1688,100,1180.0,3.0,92.5,92.11
CHRISTIAN BROTHERS' COLLEGE,51 ELLEN STREET,FREMANTLE,WA,6160,51 ELLEN STREET,FREMANTLE,WA,6160,-32.05178739,115.7533646,08 9336 2700,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,826,94,1089.0,49.0,82.2,58.93
CHURCHLANDS SENIOR HIGH SCHOOL,20 LUCCA STREET,CHURCHLANDS,WA,6018,20 LUCCA STREET,CHURCHLANDS,WA,6018,-31.91728978,115.7899902,08 9441 1700,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2797,98,1118.0,22.0,85.9,63.37
COMET BAY COLLEGE,2 ALLATOONA AVENUE,SECRET HARBOUR,WA,6173,PO BOX 7134,SECRET HARBOUR,WA,6173,-32.4158052,115.7629996,08 9553 8100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1772,82,1013.0,35.0,84.0,21.22
COMO SECONDARY COLLEGE,20 BRUCE STREET,COMO,WA,6152,20 BRUCE STREET,COMO,WA,6152,-32.00366439,115.8711551,08 9365 2000,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,867,95,1074.0,87.0,75.7,61.11
CORPUS CHRISTI COLLEGE,MURDOCH DRIVE,BATEMAN,WA,6150,MURDOCH DRIVE,BATEMAN,WA,6150,-32.05699614,115.8429056,08 6332 2500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1286,95,1098.0,28.0,84.95,61.4
DARLING RANGE SPORTS COLLEGE,117 BERKSHIRE ROAD,FORRESTFIELD,WA,6058,117 BERKSHIRE ROAD,FORRESTFIELD,WA,6058,-31.97566063,116.0108597,08 9453 0100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,994,83,976.0,137.0,52.4,34.11
DENMARK SENIOR HIGH SCHOOL,956 SOUTH COAST HIGHWAY,DENMARK,WA,6333,956 SOUTH COAST HIGHWAY,DENMARK,WA,6333,-34.95741408,117.3645842,08 9848 0100,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,427,93,1038.0,73.0,78.9,42.55
DUNCRAIG SENIOR HIGH SCHOOL,22 SULLIVAN ROAD,DUNCRAIG,WA,6023,22 SULLIVAN ROAD,DUNCRAIG,WA,6023,-31.82190527,115.767131,08 6241 5400,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1621,95,1073.0,32.0,84.5,50.0
EASTERN GOLDFIELDS COLLEGE,70 CASSIDY STREET,KALGOORLIE,WA,6430,LOCKED BAG 33,KALGOORLIE PO,WA,6433,-30.75101639,121.4753746,08 9092 3100,GOLDFIELDS,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,442,Not Rated,990.0,115.0,68.2,24.85
EASTERN HILLS SENIOR HIGH SCHOOL,LOT 289 KEANE STREET EAST,MOUNT HELENA,WA,6082,LOT 289 KEANE STREET EAST,MOUNT HELENA,WA,6082,-31.87396818,116.2200892,08 9573 0300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,926,87,1017.0,105.0,72.2,39.62
ELLENBROOK CHRISTIAN COLLEGE,5 SANTONA BOULEVARD,ELLENBROOK,WA,6069,5 SANTONA BOULEVARD,ELLENBROOK,WA,6069,-31.786783,115.959178,08 9297 9297,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,532,92,1043.0,88.0,75.65,51.16
ELLENBROOK SECONDARY COLLEGE,100 MAIN STREET,ELLENBROOK,WA,6069,100 MAIN STREET,ELLENBROOK,WA,6069,-31.78554916,115.9642807,08 9297 9700,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1444,82,986.0,119.0,66.25,19.27
EMMANUEL CATHOLIC COLLEGE,122 HAMMOND ROAD,SUCCESS,WA,6164,122 HAMMOND ROAD,SUCCESS,WA,6164,-32.12857818,115.8400696,08 9414 4000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1098,90,1036.0,58.0,80.8,26.54
ESPERANCE SENIOR HIGH SCHOOL,PINK LAKE ROAD,ESPERANCE,WA,6450,PO BOX 465,ESPERANCE,WA,6450,-33.86017872,121.868258,08 9071 9555,GOLDFIELDS,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,913,81,972.0,67.0,79.9,33.87
FREDERICK IRWIN ANGLICAN SCHOOL,36-66 GORDON ROAD,MANDURAH,WA,6210,36-66 GORDON ROAD,MANDURAH,WA,6210,-32.50869435,115.7530802,08 9537 0000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1592,98,1088.0,69.0,79.65,76.67
GEORGIANA MOLLOY ANGLICAN SCHOOL,2 HAWKER APPROACH,BUSSELTON,WA,6280,2 HAWKER APPROACH,BUSSELTON,WA,6280,-33.6606425,115.3815495,08 9752 5252,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1121,94,1072.0,45.0,82.6,62.9
GERALDTON GRAMMAR SCHOOL,134 GEORGE ROAD,GERALDTON,WA,6530,134 GEORGE ROAD,GERALDTON,WA,6530,-28.76195313,114.621025,08 9965 7800,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,511,94,1068.0,95.0,74.45,80.95
GERALDTON SENIOR HIGH SCHOOL,CARSON TERRACE,GERALDTON,WA,6530,PMB 10100,GERALDTON PO,WA,6531,-28.78068474,114.6117092,08 9965 8400,MIDWEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,934,Not Rated,904.0,127.0,64.5,14.29
GOVERNOR STIRLING SENIOR HIGH SCHOOL,25 THIRD AVENUE,WOODBRIDGE,WA,6056,25 THIRD AVENUE,WOODBRIDGE,WA,6056,-31.88893826,115.9888056,08 6274 0300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,919,83,974.0,130.0,63.8,43.1
GREAT SOUTHERN GRAMMAR,244 NANARUP ROAD,LOWER KALGAN,WA,6330,244 NANARUP ROAD,LOWER KALGAN,WA,6330,-34.94755539,117.9707332,08 9844 0300,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,693,96,1075.0,84.0,76.05,65.06
GREENWOOD COLLEGE,79 COOLIBAH DRIVE,GREENWOOD,WA,6024,79 COOLIBAH DRIVE,GREENWOOD,WA,6024,-31.82628484,115.7914439,08 9235 4300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1071,86,1032.0,86.0,75.75,36.8
HALE SCHOOL,160 HALE ROAD,WEMBLEY DOWNS,WA,6019,160 HALE ROAD,WEMBLEY DOWNS,WA,6019,-31.91232249,115.7837828,08 9347 9777,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y12,1594,99,1165.0,6.0,90.35,87.11
HALLS HEAD COLLEGE,CASUARINA DRIVE,HALLS HEAD,WA,6210,CASUARINA DRIVE,HALLS HEAD,WA,6210,-32.55444963,115.6942404,08 9581 0600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1399,Not Rated,930.0,112.0,69.95,22.49
HAMPTON SENIOR HIGH SCHOOL,MORLEY DRIVE EAST,MORLEY,WA,6062,PO BOX 590,MORLEY,WA,6943,-31.89085713,115.92693,08 6235 7100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,821,83,979.0,117.0,67.15,25.81
HELENA COLLEGE,52 BILGOMAN ROAD,GLEN FORREST,WA,6071,52 BILGOMAN ROAD,GLEN FORREST,WA,6071,-31.90747,116.09144,08 9298 9100,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,724,96,1110.0,78.0,77.35,91.18
HOLY CROSS COLLEGE,18 STRATHMORE PARKWAY,ELLENBROOK,WA,6069,18 STRATHMORE PARKWAY,ELLENBROOK,WA,6069,-31.773097,115.973832,08 9297 7600,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1121,88,1043.0,98.0,74.2,44.58
IONA PRESENTATION COLLEGE,33 PALMERSTON STREET,MOSMAN PARK,WA,6012,33 PALMERSTON STREET,MOSMAN PARK,WA,6012,-32.00852636,115.7677349,08 9384 0066,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1190,97,1124.0,17.0,87.8,67.91
IRENE MCCORMACK CATHOLIC COLLEGE,18 BRADMAN DRIVE,BUTLER,WA,6036,18 BRADMAN DRIVE,BUTLER,WA,6036,-31.65406275,115.709449,08 9562 2400,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,880,86,1027.0,120.0,66.2,45.19
JOHN CURTIN COLLEGE OF THE ARTS,90 ELLEN STREET,FREMANTLE,WA,6160,90 ELLEN STREET,FREMANTLE,WA,6160,-32.04863279,115.7562238,08 9433 7200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1761,98,1120.0,25.0,85.25,65.18
JOHN FORREST SECONDARY COLLEGE,180 DRAKE STREET,MORLEY,WA,6062,180 DRAKE STREET,MORLEY,WA,6062,-31.90416352,115.90089,08 9473 4000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1114,91,1025.0,74.0,78.7,32.3
JOHN PAUL COLLEGE,LIONEL STREET,KALGOORLIE,WA,6430,LIONEL STREET,KALGOORLIE,WA,6430,-30.76410096,121.4787154,08 9021 4377,GOLDFIELDS,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,669,87,1018.0,108.0,71.0,79.49
JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL,2 BOYARE AVENUE,MIRRABOOKA,WA,6061,2 BOYARE AVENUE,MIRRABOOKA,WA,6061,-31.85936631,115.8567055,08 9247 2242,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1727,93,1070.0,35.0,84.0,50.3
JOHN TONKIN COLLEGE,EDUCATION DRIVE,MANDURAH,WA,6210,PO BOX 684,MANDURAH,WA,6210,-32.51758689,115.756358,08 9583 7373,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,765,81,980.0,126.0,64.6,17.65
JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,CENTRE ROAD,CAMILLO,WA,6111,CENTRE ROAD,CAMILLO,WA,6111,-32.104726,116.007834,08 9495 8100,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,968,87,1054.0,40.0,83.3,38.67
JOHN XXIII COLLEGE,JOHN XXIII AVENUE,MOUNT CLAREMONT,WA,6010,JOHN XXIII AVENUE,MOUNT CLAREMONT,WA,6010,-31.9599189,115.7847988,08 9383 0400,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1579,97,1170.0,8.0,89.5,78.57
KALAMUNDA SENIOR HIGH SCHOOL,12 COTHERSTONE ROAD,KALAMUNDA,WA,6076,12 COTHERSTONE ROAD,KALAMUNDA,WA,6076,-31.97788079,116.0561861,08 9293 6400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1176,86,1015.0,107.0,71.05,38.69
