School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,Total Students,BE Score,ICSEA,ATAR Rank,Median ATAR,% students with ATAR
KARRATHA SENIOR HIGH SCHOOL,DAMPIER ROAD,KARRATHA,WA,6714,PO BOX 1630,KARRATHA,WA,6714,-20.74695822,116.8241249,08 9187 8000,PILBARA,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1208,76,944.0,132.0,62.8,22.03
KELMSCOTT SENIOR HIGH SCHOOL,CNR THIRD AVENUE/CAMMILLO ROAD,KELMSCOTT,WA,6111,PO BOX 21,KELMSCOTT,WA,6991,-32.12147619,116.0110534,08 9495 7400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1295,81,983.0,113.0,69.7,30.39
KENNEDY BAPTIST COLLEGE,FARRINGTON ROAD,MURDOCH,WA,6150,FARRINGTON ROAD,MURDOCH,WA,6150,-32.073356,115.829647,08 9314 7722,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1160,95,1097.0,12.0,88.95,50.3
KENT STREET SENIOR HIGH SCHOOL,89 KENT STREET,EAST VICTORIA PARK,WA,6101,89 KENT STREET,EAST VICTORIA PARK,WA,6101,-31.98570399,115.8926602,08 9262 0500,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1027,87,1023.0,93.0,74.65,33.58
KOLBE CATHOLIC COLLEGE,DOWLING STREET,ROCKINGHAM,WA,6168,DOWLING STREET,ROCKINGHAM,WA,6168,-32.27997384,115.7539727,08 9592 1500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1160,92,1046.0,97.0,74.25,41.14
LA SALLE COLLEGE,5 LA SALLE AVENUE,MIDDLE SWAN,WA,6056,5 LA SALLE AVENUE,MIDDLE SWAN,WA,6056,-31.87856979,116.004411,08 9449 0601,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1392,85,1020.0,53.0,81.25,28.37
LAKE JOONDALUP BAPTIST COLLEGE,8 KENNEDYA DRIVE,JOONDALUP,WA,6027,8 KENNEDYA DRIVE,JOONDALUP,WA,6027,-31.73747504,115.7614206,08 9300 7444,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1468,93,1105.0,80.0,77.25,63.91
LANGFORD ISLAMIC COLLEGE,57 SOUTHGATE ROAD,LANGFORD,WA,6147,57 SOUTHGATE ROAD,LANGFORD,WA,6147,-32.04605574,115.9371583,08 9458 5206,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1043,99,1098.0,85.0,75.9,70.27
LEEMING SENIOR HIGH SCHOOL,AULBERRY PARADE,LEEMING,WA,6149,AULBERRY PARADE,LEEMING,WA,6149,-32.07467304,115.8564902,08 9237 6800 ,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1091,98,1071.0,89.0,75.6,44.22
LESMURDIE SENIOR HIGH SCHOOL,21 REID ROAD,LESMURDIE,WA,6076,21 REID ROAD,LESMURDIE,WA,6076,-32.01252075,116.0516431,08 9291 1200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1057,92,1032.0,71.0,78.95,35.48
LUMEN CHRISTI COLLEGE,81 STATION STREET,MARTIN,WA,6110,81 STATION STREET,MARTIN,WA,6110,-32.06737479,116.0120135,08 9394 9300,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,977,88,1013.0,122.0,65.9,29.3
LYNWOOD SENIOR HIGH SCHOOL,436 METCALFE ROAD,PARKWOOD,WA,6147,436 METCALFE ROAD,PARKWOOD,WA,6147,-32.04190909,115.9161296,08 9354 0600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1417,86,980.0,96.0,74.35,21.05
MANDURAH CATHOLIC COLLEGE,79-97 COODANUP DRIVE,MANDURAH,WA,6210,79-97 COODANUP DRIVE,MANDURAH,WA,6210,-32.54895945,115.738286,08 9531 9500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1676,91,1040.0,32.0,84.5,41.71
MANEA SENIOR COLLEGE,ROBERTSON DRIVE,BUNBURY,WA,6230,PO BOX 500,BUNBURY,WA,6230,-33.36775659,115.6567975,08 9721 0400,SOUTH WEST,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,588,Not Rated,1022.0,81.0,77.05,26.95
MANJIMUP SENIOR HIGH SCHOOL,RUTHERFORD STREET,MANJIMUP,WA,6258,LOCKED BAG 1,MANJIMUP,WA,6258,-34.233842,116.133228,08 9771 3400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,608,84,977.0,64.0,80.05,28.0
MARGARET RIVER SENIOR HIGH SCHOOL,158 BUSSELL HIGHWAY,MARGARET RIVER,WA,6285,158 BUSSELL HIGHWAY,MARGARET RIVER,WA,6285,-33.95431827,115.0746714,08 9757 0700,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1100,90,1037.0,47.0,82.35,39.66
MATER DEI COLLEGE,107 TREETOP AVENUE,EDGEWATER,WA,6027,107 TREETOP AVENUE,EDGEWATER,WA,6027,-31.76466034,115.7765193,08 9405 4777,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,831,90,1055.0,104.0,72.45,39.53
MAZENOD COLLEGE,55 GLADYS ROAD,LESMURDIE,WA,6076,55 GLADYS ROAD,LESMURDIE,WA,6076,-32.006679,116.0388409,08 9291 6500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,845,92,1067.0,25.0,85.25,50.0
MELVILLE SENIOR HIGH SCHOOL,18 POTTS STREET,MELVILLE,WA,6156,18 POTTS STREET,MELVILLE,WA,6156,-32.04631125,115.8054613,08 6274 1300,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1402,95,1065.0,61.0,80.35,46.7
MERCEDES COLLEGE,VICTORIA SQUARE,PERTH,WA,6000,VICTORIA SQUARE,PERTH,WA,6000,-31.95623304,115.8670832,08 9323 1323,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,838,96,1116.0,15.0,88.55,72.66
MERCY COLLEGE,CNR BEACH ROAD/MIRRABOOKA AVENUE,KOONDOOLA,WA,6064,CNR BEACH ROAD/MIRRABOOKA AVENUE,KOONDOOLA,WA,6064,-31.84725114,115.8575544,08 9247 9247,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1620,90,1010.0,46.0,82.5,34.34
METHODIST LADIES' COLLEGE,356 STIRLING HIGHWAY,CLAREMONT,WA,6010,356 STIRLING HIGHWAY,CLAREMONT,WA,6010,-31.98701169,115.7755403,08 9384 4000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1019,99,1150.0,5.0,90.55,88.89
MINDARIE SENIOR COLLEGE,14 ELLISTON PARADE,MINDARIE,WA,6030,PO BOX 2003,CLARKSON,WA,6030,-31.6769792,115.7060496,08 6207 5500,NORTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,780,Not Rated,1034.0,111.0,70.1,26.34
MORLEY SENIOR HIGH SCHOOL,19-43 BRAMWELL ROAD,NORANDA,WA,6062,19-43 BRAMWELL ROAD,NORANDA,WA,6062,-31.8737169,115.8836692,08 9376 5555,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1058,88,1009.0,100.0,73.7,44.1
MOUNT LAWLEY SENIOR HIGH SCHOOL,65 WOODSOME STREET,MOUNT LAWLEY,WA,6050,65 WOODSOME STREET,MOUNT LAWLEY,WA,6050,-31.92122258,115.8697493,08 9265 1500,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1896,97,1101.0,20.0,86.45,64.96
NAGLE CATHOLIC COLLEGE,SANFORD STREET,GERALDTON,WA,6530,SANFORD STREET,GERALDTON,WA,6530,-28.77776964,114.6099931,08 9920 0500,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1089,88,1018.0,81.0,77.05,41.22
NARROGIN SENIOR HIGH SCHOOL,GRAY STREET,NARROGIN,WA,6312,PMB 2,NARROGIN,WA,6312,-32.93810289,117.1914239,08 9881 9300,WHEATBELT,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,652,82,968.0,124.0,65.45,36.67
NEWMAN COLLEGE,216 EMPIRE AVENUE,CHURCHLANDS,WA,6018,216 EMPIRE AVENUE,CHURCHLANDS,WA,6018,-31.9231958,115.7873551,08 9204 9444,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1831,93,1114.0,44.0,82.7,65.5
NORTH ALBANY SENIOR HIGH SCHOOL,47 ANSON ROAD,ALBANY,WA,6330,47 ANSON ROAD,ALBANY,WA,6330,-34.99074882,117.8668674,08 9892 0611,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,833,84,970.0,110.0,70.15,49.38
NORTHAM SENIOR HIGH SCHOOL,KENNEDY STREET,NORTHAM,WA,6401,PO BOX 255,NORTHAM,WA,6401,-31.64725593,116.6676491,08 9621 0000,WHEATBELT,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,664,76,924.0,123.0,65.65,22.77
OCEAN REEF SENIOR HIGH SCHOOL,21 VENTURI DRIVE,OCEAN REEF,WA,6027,21 VENTURI DRIVE,OCEAN REEF,WA,6027,-31.75879833,115.7389749,08 6206 2700,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1234,89,1052.0,83.0,76.35,40.56
PENRHOS COLLEGE,6 MORRISON STREET,COMO,WA,6152,6 MORRISON STREET,COMO,WA,6152,-31.99743072,115.8725394,08 9368 9508,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,986,97,1051.0,4.0,90.65,85.93
PERTH COLLEGE,31 LAWLEY CRESCENT,MOUNT LAWLEY,WA,6050,31 LAWLEY CRESCENT,MOUNT LAWLEY,WA,6050,-31.93117853,115.8754809,08 9471 2100,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1028,99,1153.0,9.0,89.4,89.92
PERTH MODERN SCHOOL,90 ROBERTS ROAD,SUBIACO,WA,6008,90 ROBERTS ROAD,SUBIACO,WA,6008,-31.94506602,115.8363958,08 9392 6855,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1428,100,1239.0,1.0,97.55,100.0
PETER MOYES ANGLICAN COMMUNITY SCHOOL,ELLISTON PARADE,MINDARIE,WA,6030,ELLISTON PARADE,MINDARIE,WA,6030,-31.67541576,115.7075982,08 9304 5500,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1347,91,1073.0,55.0,81.05,63.33
PRENDIVILLE CATHOLIC COLLEGE,11 PRENDIVILLE DRIVE,OCEAN REEF,WA,6027,11 PRENDIVILLE DRIVE,OCEAN REEF,WA,6027,-31.75468355,115.7396844,08 9307 2000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1133,93,1077.0,60.0,80.45,53.46
PRESBYTERIAN LADIES COLLEGE,14 MCNEIL STREET,PEPPERMINT GROVE,WA,6011,14 MCNEIL STREET,PEPPERMINT GROVE,WA,6011,-31.993592,115.764906,08 9424 6444,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1027,99,1111.0,11.0,89.2,88.99
PROVIDENCE CHRISTIAN COLLEGE,19 FURLEY ROAD,SOUTHERN RIVER,WA,6110,19 FURLEY ROAD,SOUTHERN RIVER,WA,6110,-32.09974606,115.9366941,08 9455 1607,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,838,94,1090.0,38.0,83.85,61.4
QUINNS BAPTIST COLLEGE,8 SALERNO DRIVE,MINDARIE,WA,6030,8 SALERNO DRIVE,MINDARIE,WA,6030,-31.67618587,115.7101964,08 9305 8808,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1183,91,1062.0,118.0,66.9,34.07
ROSSMOYNE SENIOR HIGH SCHOOL,1 KEITH ROAD,ROSSMOYNE,WA,6148,1 KEITH ROAD,ROSSMOYNE,WA,6148,-32.04626472,115.8705457,08 9235 1600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2311,100,1121.0,16.0,88.4,74.46
SACRED HEART COLLEGE,15 HOCKING PARADE,SORRENTO,WA,6020,15 HOCKING PARADE,SORRENTO,WA,6020,-31.82737166,115.74657,08 9246 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1425,95,1109.0,19.0,87.6,64.19
SANTA MARIA COLLEGE,STONEHAM ROAD,ATTADALE,WA,6156,STONEHAM ROAD,ATTADALE,WA,6156,-32.018614,115.795823,08 6330 0200,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y05,Y12,1297,97,1117.0,10.0,89.35,68.18
SCOTCH COLLEGE,76 SHENTON ROAD,SWANBOURNE,WA,6010,76 SHENTON ROAD,SWANBOURNE,WA,6010,-31.98113329,115.7731945,08 9383 6800,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1418,97,1165.0,24.0,85.35,74.29
SERVITE COLLEGE,134 CAPE STREET,TUART HILL,WA,6060,134 CAPE STREET,TUART HILL,WA,6060,-31.90270449,115.8336415,08 9444 6333,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1009,89,1032.0,65.0,80.0,44.08
SETON CATHOLIC COLLEGE,MARCHANT ROAD,SAMSON,WA,6163,MARCHANT ROAD,SAMSON,WA,6163,-32.07269529,115.7933707,08 9331 9600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,993,89,1038.0,91.0,75.35,39.22
SEVENOAKS SENIOR COLLEGE,275 SEVENOAKS STREET,CANNINGTON,WA,6107,275 SEVENOAKS STREET,CANNINGTON,WA,6107,-32.01247925,115.9423052,08 6235 7200,SOUTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,445,Not Rated,976.0,114.0,68.95,23.75
SHENTON COLLEGE,227 STUBBS TERRACE,SHENTON PARK,WA,6008,227 STUBBS TERRACE,SHENTON PARK,WA,6008,-31.95969986,115.803008,08 9366 9100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2404,99,1159.0,14.0,88.6,71.72
SOUTHERN RIVER COLLEGE,SOUTHERN RIVER ROAD,GOSNELLS,WA,6110,SOUTHERN RIVER ROAD,GOSNELLS,WA,6110,-32.08559751,115.979918,08 9495 3200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,937,75,937.0,121.0,66.0,20.35
ST BRIGID'S COLLEGE,200 LESMURDIE ROAD,LESMURDIE,WA,6076,200 LESMURDIE ROAD,LESMURDIE,WA,6076,-31.99663035,116.0520664,08 9290 4200,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,905,92,1048.0,99.0,73.85,59.22
ST HILDA'S ANGLICAN SCHOOL FOR GIRLS,BAY VIEW TERRACE,MOSMAN PARK,WA,6012,BAY VIEW TERRACE,MOSMAN PARK,WA,6012,-32.005047,115.767812,08 9285 4100,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1109,100,1197.0,2.0,92.7,91.16
ST MARK'S ANGLICAN COMMUNITY SCHOOL,ST MARKS DRIVE,HILLARYS,WA,6025,PO BOX 231,HILLARYS,WA,6923,-31.79848743,115.7428728,08 9403 1300,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1722,96,1119.0,58.0,80.8,73.38
ST MARY MACKILLOP COLLEGE,MACKILLOP AVENUE,BUSSELTON,WA,6280,MACKILLOP AVENUE,BUSSELTON,WA,6280,-33.66260748,115.3302509,08 9752 7400,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1458,92,1045.0,70.0,79.3,52.58
ST MARY'S ANGLICAN GIRLS' SCHOOL,75 ELLIOTT ROAD,KARRINYUP,WA,6018,75 ELLIOTT ROAD,KARRINYUP,WA,6018,-31.87697112,115.766244,08 9341 9111,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1452,100,1158.0,7.0,90.3,83.66
ST NORBERT COLLEGE,135 TREASURE ROAD,QUEENS PARK,WA,6107,135 TREASURE ROAD,QUEENS PARK,WA,6107,-32.00436432,115.9403443,08 9350 5433,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,913,92,1044.0,42.0,83.0,31.62
ST STEPHEN'S SCHOOL,100 DOVERIDGE DRIVE,DUNCRAIG,WA,6023,100 DOVERIDGE DRIVE,DUNCRAIG,WA,6023,-31.8192748,115.7806424,08 9243 2100,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,2034,95,1118.0,31.0,84.75,55.15
SWAN CHRISTIAN COLLEGE,381 GREAT NORTHERN HIGHWAY,MIDDLE SWAN,WA,6056,381 GREAT NORTHERN HIGHWAY,MIDDLE SWAN,WA,6056,-31.85830659,116.0117533,08 9374 8300,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1482,93,1064.0,93.0,74.65,39.26
SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,SWANLEIGH PARADE,AVELEY,WA,6069,SWANLEIGH PARADE,AVELEY,WA,6069,-31.79434482,115.9854516,08 9297 9506,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1148,90,1045.0,53.0,81.25,50.0
THORNLIE SENIOR HIGH SCHOOL,2 OVENS ROAD,THORNLIE,WA,6108,2 OVENS ROAD,THORNLIE,WA,6108,-32.06627622,115.959641,08 9376 2100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1164,81,976.0,125.0,65.35,17.81
TRANBY COLLEGE,17 TRANBY DRIVE,BALDIVIS,WA,6171,17 TRANBY DRIVE,BALDIVIS,WA,6171,-32.3405703,115.8002428,08 9524 2424,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,711,90,1066.0,62.0,80.3,42.19
TRINITY COLLEGE,2 TRINITY AVENUE,EAST PERTH,WA,6004,2 TRINITY AVENUE,EAST PERTH,WA,6004,-31.96013472,115.8825766,08 9223 8133,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y04,Y12,1216,96,1113.0,43.0,82.85,66.18
URSULA FRAYNE CATHOLIC COLLEGE,15 DUNCAN STREET,VICTORIA PARK,WA,6100,15 DUNCAN STREET,VICTORIA PARK,WA,6100,-31.97297817,115.8990335,08 9470 0900,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1406,95,1097.0,41.0,83.15,71.3
WESLEY COLLEGE,40 COODE STREET,SOUTH PERTH,WA,6151,40 COODE STREET,SOUTH PERTH,WA,6151,-31.97995555,115.865934,08 9368 8000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1244,98,1143.0,37.0,83.9,82.64
WILLETTON SENIOR HIGH SCHOOL,PINETREE GULLY ROAD,WILLETTON,WA,6155,PINETREE GULLY ROAD,WILLETTON,WA,6155,-32.06131317,115.8792246,08 9334 7200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2539,99,1117.0,18.0,87.75,70.48
WOODVALE SECONDARY COLLEGE,110 WOODVALE DRIVE,WOODVALE,WA,6026,110 WOODVALE DRIVE,WOODVALE,WA,6026,-31.79154969,115.7994712,08 9309 0808,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1436,92,1064.0,77.0,77.65,47.39
